sample_id,group,myeloid_clusters,myeloid_subtype,Kupffer_resident_score1,Monocyte_derived_Mph_score1,Inflammatory_Mph_score1,Injury_response_Mph_score1,Neutrophil_score1,Activated_neutrophil_score1,Interferon_response_score1,Antigen_presentation_score1
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,-0.5702541260629889,1.6755598088501202,0.4146405741961,0.0567949466683062,-0.12220740580748446,-0.1253391735533741,0.9699655373877154,1.4203875998305961
con1,Control,4,Inflammatory neutrophil,-0.7457417921597136,-0.8047158700279218,1.6105132742124013,-0.20701479304390735,0.26954538350735846,1.0890637091982434,-0.46801865991270697,0.03762612388170772
con1,Control,4,Inflammatory neutrophil,-0.6573717904023337,-0.6295549117111412,0.6087934333389694,-0.13876974548259646,0.6569215825422066,-0.18158152678904615,0.09030893134884765,-0.26278918146328467
con1,Control,3,DC-like antigen-presenting myeloid,-0.5775406981388005,0.7357806684606405,-0.3846624683801242,-0.10150507080168869,-0.13031210784461422,-0.8638164647024835,-0.25547334968496505,0.10885429921474798
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,0.1914130956422262,0.908158494120082,0.3708360648525463,1.2383406748813024,-0.18511606353242843,-0.1490955002642329,-0.07082056699619926,2.272757078593041
con1,Control,6,Mature neutrophil,-0.5010508180633293,0.7945034818920754,0.5786405446335098,0.11833918417358757,3.5105557247834143,0.27745489482396357,-0.3170205741143325,-0.27132571284118895
con1,Control,3,DC-like antigen-presenting myeloid,-0.5647246966212042,-0.17154357403124976,0.4332492620066206,0.046817117492646276,0.031237415044502836,-0.34181092314129113,-0.43848046515689787,3.0020245905097247
con1,Control,10,IFN-responsive inflammatory neutrophil,-0.5248518959500912,0.381318588375276,1.3669085987391125,0.2787235599447645,1.990610641118277,1.3137413701812606,0.9919549616341823,0.020944373240901704
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,0.49951829263805003,0.7459887584730436,0.4730693466243937,1.5720881733624346,-0.560509278914999,0.2822543691385935,-0.3287629739160872,2.5404749043955754
con1,Control,7,Monocyte-derived macrophage,-0.660811651242417,2.289158731129555,0.6383582621546563,0.04049164561991625,-0.4640442077988339,-0.10721358054058405,-0.014363928971459772,-0.1565410618943871
con1,Control,3,DC-like antigen-presenting myeloid,-0.6438726843350526,0.032524266492987675,-0.624547224374418,-0.5884188577734742,-0.30944226751460774,-0.9556951958546366,-0.20428047324615545,2.5736868440534266
con1,Control,7,Monocyte-derived macrophage,-0.37955079492317395,1.1501666573234857,-0.25917229246570983,0.026375247475702523,-0.4770306817771312,-0.850441171280392,0.2733187890020718,2.329333335611863
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,0.34284198013273115,1.3336558621177508,-0.5816841032460968,1.0637466007313725,-0.2801638674042726,-1.1543630129879143,-0.134039877438765,2.530899024080763
con1,Control,4,Inflammatory neutrophil,-0.6734909823513958,0.1646790190869757,0.1242055364231972,-0.12080893774173485,1.5846933969949122,-0.0336253440257428,-0.2129677391741799,-0.13830616682034913
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,-0.6602640598166751,1.7415152818771371,-0.5122403359402012,0.7994408806068993,-0.1631023189236479,-0.9088663133502624,0.22446539095937085,-0.10900916399493332
con1,Control,3,DC-like antigen-presenting myeloid,-0.47028669750910057,-0.18767057855140923,-0.6223922342732054,-0.27493913249233,-0.2280396325651342,-1.0041501999847207,-0.27652980503308644,2.3670703621476337
con1,Control,6,Mature neutrophil,-0.4974113017229529,0.5942426282662082,0.22613666896350948,-0.34647672492097537,2.75805576852146,0.4950270119162594,-0.07987189023365862,0.11879927692062708
con1,Control,1,Resident Kupffer cell,2.56815099427075,-0.2584628778684407,-0.2524217553555652,1.660306456174442,-0.2693413051907898,-0.7504665560740169,-0.22124211481360218,1.7080766337150897
con1,Control,3,DC-like antigen-presenting myeloid,-0.6770333342074504,-0.26110693054766154,0.6710364037172207,-0.2413669054833798,-0.6043528295473516,-0.0723116170357676,0.2826431889298549,2.719293220389238
con1,Control,3,DC-like antigen-presenting myeloid,-0.5687970279130214,0.09057223520392854,0.3985046734001684,0.1835007790043831,-0.430144271139417,0.02969018929178302,0.018889646199505894,2.943735018246015
con1,Control,7,Monocyte-derived macrophage,-0.746180636592054,2.173390696581979,0.31587844657441533,0.5545806556411671,0.30206094408779993,0.4014641625486908,-0.34048707596016226,-0.06761827062514236
con1,Control,5,Activated neutrophil,-0.6244843177875201,-0.0588244513856474,0.9943119097310842,-0.6891675249228586,1.4204059038933545,0.9136464705325702,-0.40449212273377994,1.4426914282944618
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,0.3942516978737761,0.03238602419130887,1.6273098592023212,0.6022138042205852,-0.45744714840468276,1.1314187503606885,-0.12133504033095993,2.50716426657113
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,-0.6394841995760491,1.8128438490786263,-0.7207938323181743,0.4665738289050716,-0.30092396982519404,-1.146950167084081,1.000160466929477,2.5056242918948035
con1,Control,7,Monocyte-derived macrophage,-0.58871855788839,2.0308891416000883,0.18819348773737932,0.5448835786597288,-0.5020824072758583,-0.06693049583663169,-0.2803251276512927,0.18176212746626996
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,0.12998944387602862,0.2442953057508107,-0.676520245420963,1.0500735214548151,-0.018380486538338126,-0.9933514183081311,-0.175093325320349,2.022812408128634
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,0.23573698559659217,0.3667460706274054,2.1985276540665244,0.39156548995742635,-0.4632280904807615,1.155447571673003,0.2078000043049682,2.2645454403715535
con1,Control,1,Resident Kupffer cell,1.8889013332589542,0.1541739326194399,0.011642062225734384,1.4941237980271902,-0.4868717036468858,-0.6339653707205769,-0.1937762476717052,0.7499828120218323
