sample_id,group,myeloid_clusters,myeloid_subtype,n_cells,Kupffer_resident_score1_mean,Monocyte_derived_Mph_score1_mean,Inflammatory_Mph_score1_mean,Injury_response_Mph_score1_mean,Neutrophil_score1_mean,Activated_neutrophil_score1_mean,Interferon_response_score1_mean,Antigen_presentation_score1_mean
con1,Control,10,IFN-responsive inflammatory neutrophil,3,-0.5566299749029326,0.18199662176027653,0.836409185350575,0.058909608643238756,1.6772405832073662,0.8090002028270868,0.6711580345494694,0.11753606369160605
con1,Control,11,Neutrophil with erythroid/ambient signal,11,-0.4685864066805661,0.1364763358212684,0.5713393335833428,0.23989190881797212,2.0780415280190465,0.7079303284193564,-0.12503122634129718,0.15026784081472339
con1,Control,12,Antigen-presenting myeloid with lymphoid-like signal,7,0.01583276605716085,0.32257343628268736,-0.15593635729841876,0.3632238537674827,-0.32675928766478374,-0.6880648716775509,0.01164868135294354,1.6745503208492216
con1,Control,13,Cycling neutrophil,4,0.009467507997128893,0.7810616162884925,0.13844360645618625,0.5806876827639271,1.11665714430403,-0.35077141934402234,-0.006531582058954488,0.7672963854575159
con1,Control,14,CCR7+ DC-like antigen-presenting myeloid,3,-0.5040909013202609,-0.6587752076139685,0.1826772215483983,-0.38040384525524423,-0.033514707963410974,-0.5906487195826662,-0.1778606728906096,2.0470712312473576
con1,Control,15,Rare injury-associated macrophage-like cells,1,0.8298946233591825,0.15420897798439903,-0.24187826798620493,0.8931384855071978,-0.5377890981908038,-0.3701055230278145,-0.31611735045198674,-0.3461022804232522
con2,Control,0,Inflammatory neutrophil,575,-0.43044648375252154,-0.16946608860981796,0.8757024931075663,0.16185383567292433,1.7555969733952088,0.9357783417381005,-0.12742399347505606,0.09802993937243391
con2,Control,1,Resident Kupffer cell,274,1.8385283815119744,0.06252697456120787,-0.12620746963563093,1.40501193285265,-0.28646182264698805,-0.4327155897786487,-0.03266222147655648,0.6967533273512581
con2,Control,2,Antigen-presenting macrophage / Mo-Mac,280,0.1647180100468281,0.9235902784936972,0.22068032216333602,1.310762770473327,-0.40800540662343904,-0.14827448891616465,0.05419902012778313,1.6450011698878793
con2,Control,3,DC-like antigen-presenting myeloid,200,-0.5918972903636501,0.2611911241915159,-0.0025857692553080806,0.0482288903173885,-0.4277046596778844,-0.5266117217846726,-0.23557399305075655,2.3453790368713334
con2,Control,4,Inflammatory neutrophil,95,-0.5190414296684074,-0.2648116964764744,0.5077336098547073,0.10066821252586447,1.0861026113854264,0.3202401500511131,-0.17366251625084253,0.11007579527321909
con2,Control,5,Activated neutrophil,58,-0.4613352546981079,-0.29822142988136363,0.47786519995864146,0.03482370371396123,1.139948812476725,0.2832518095692488,-0.22498791072862898,1.4155865047287548
con2,Control,6,Mature neutrophil,47,-0.41106517396755815,0.8500209313731776,-0.28558511417964744,0.1536564197228774,3.2454612698298226,-0.388262174816812,-0.1996041392407382,0.1536554406004077
con2,Control,7,Monocyte-derived macrophage,101,-0.5827639628437766,1.817328443555544,-0.028585593433738607,0.6522603150341436,-0.3282564604847994,-0.401458601104411,-0.2460375871503947,0.0941330264135847
con2,Control,8,Activated inflammatory neutrophil,70,-0.4450370812497642,-0.07107750094943709,1.6277245094880817,0.2639562942465459,0.8863501020916503,1.4764283395657758,-0.13424180904162966,0.1894775199873975
con2,Control,9,Possible doublet / hepatocyte ambient-contaminated neutrophil,102,-0.38192374601689716,-0.12838212766136348,0.7979630638697341,0.34648210319589084,1.4988885479186151,0.7556638023372587,-0.14567769501810918,0.11733129639170625
con2,Control,10,IFN-responsive inflammatory neutrophil,56,-0.4193054588832024,0.02768617402103256,1.063909050977616,0.21806768130084864,1.2625202249211274,0.9872909537176213,0.9930729938954204,0.0841508634635842
con2,Control,11,Neutrophil with erythroid/ambient signal,29,-0.40278958069687953,-0.005369307062820554,0.8857209459324147,0.15505163326046,1.74193238436298,1.0884638967228488,-0.08259695068168418,-0.12451382233252725
con2,Control,12,Antigen-presenting myeloid with lymphoid-like signal,30,-0.06932620860571101,0.31659865719452174,0.03175801834981369,0.396434864881088,-0.49508912273820954,-0.5350678487321509,-0.1696821959968906,1.6177290643736024
con2,Control,13,Cycling neutrophil,15,0.6042531812399116,0.5383947518866967,-0.011106298817559026,1.1128556901981794,0.4954628508956145,-0.2857587191141637,-0.07945725510633558,0.7854284137135084
