"source","target","ligand","receptor","pathway_name","annotation","score_control","exprL_control","exprR_control","score_apap","exprL_apap","exprR_apap","delta_score","max_score","axis"
"Monocyte-derived macrophage / DC-like","T cell","H2-Ab1","Cd4","MHC-II","Cell-Cell Contact",1.10530688525383,3.56700855438172,0.309869423748947,0.7399597452084,3.54852295930328,0.208526125854258,-0.365347140045428,1.10530688525383,"Monocyte-derived macrophage / DC-like -> T cell"
"Fibroblast / stellate","Kupffer cell","Col6a1","Sdc4","COLLAGEN","ECM-Receptor",0.228460894553863,1.53534218195247,0.148801288233566,0.588576863450234,1.44143848059721,0.408326037755269,0.360115968896372,0.588576863450234,"Fibroblast / stellate -> Kupffer cell"
"Kupffer cell","Inflammatory neutrophil","App","Cd74","APP","Cell-Cell Contact",1.78103728199179,1.10376348445263,1.61360409823218,2.13744931016634,1.16671169225866,1.83202870456232,0.356412028174548,2.13744931016634,"Kupffer cell -> Inflammatory neutrophil"
"Kupffer cell","Neutrophil","Ccl6","Ccr2","CCL","Secreted Signaling",0.588142428094422,2.4080777196002,0.244237311490124,0.241637355137585,2.74121488992137,0.0881497309919096,-0.346505072956836,0.588142428094422,"Kupffer cell -> Neutrophil"
"Monocyte-derived macrophage / DC-like","T cell","H2-Eb1","Cd4","MHC-II","Cell-Cell Contact",1.06457866496684,3.4355718356689,0.309869423748947,0.723438789809865,3.46929569062961,0.208526125854258,-0.34113987515697,1.06457866496684,"Monocyte-derived macrophage / DC-like -> T cell"
"Activated neutrophil","Endothelial","Cd55","Adgre5","ADGRE","Cell-Cell Contact",0.58180218869064,0.938074686459164,0.620208813955633,0.256852383311646,0.583747729995981,0.440005793792833,-0.324949805378994,0.58180218869064,"Activated neutrophil -> Endothelial"
"Inflammatory neutrophil","Endothelial","Sirpb1b","Cd47","SIRP","Cell-Cell Contact",1.73695531798903,0.87629755643521,1.9821524152766,1.41337769506262,0.724082635155151,1.95195634647387,-0.32357762292641,1.73695531798903,"Inflammatory neutrophil -> Endothelial"
"Fibroblast / stellate","Kupffer cell","Anxa1","Fpr1","ANNEXIN","Secreted Signaling",0.981652315939531,1.0522063848693,0.932946549323088,0.661038490812016,1.15864526641689,0.570527071548205,-0.320613825127515,0.981652315939531,"Fibroblast / stellate -> Kupffer cell"
"Inflammatory neutrophil","Endothelial","Cxcl2","Cxcr2","CXCL","Secreted Signaling",0.172412426318133,3.32370444331171,0.0518735733753579,0.489632138080512,3.98742361812691,0.122794110927827,0.317219711762379,0.489632138080512,"Inflammatory neutrophil -> Endothelial"
"Fibroblast / stellate","Kupffer cell","Col4a1","Sdc4","COLLAGEN","ECM-Receptor",0.22230828331255,1.49399434609466,0.148801288233566,0.539120418219468,1.32031849152513,0.408326037755269,0.316812134906918,0.539120418219468,"Fibroblast / stellate -> Kupffer cell"
"Activated neutrophil","Endothelial","Cxcl2","Cxcr2","CXCL","Secreted Signaling",0.119220133134278,2.29828263943953,0.0518735733753579,0.434396305049925,3.53759884547919,0.122794110927827,0.315176171915647,0.434396305049925,"Activated neutrophil -> Endothelial"
