"source","target","ligand","receptor","pathway_name","annotation","expr_ligand","expr_receptor","interaction_score","group"
"Kupffer cell","Endothelial","Ccl6","Ccr1","CCL","Secreted Signaling",2.74121488992137,0.109058249798899,0.298952098217506,"APAP"
"Activated neutrophil","Endothelial","Pecam1","Cd38","PECAM2","Cell-Cell Contact",0.31233460755038,0.955747289184158,0.298512954484673,"APAP"
"Monocyte-derived macrophage / DC-like","NK cell","Lgals9","P4hb","GALECTIN","Secreted Signaling",0.732925031958744,0.396892503817831,0.29089245104487,"APAP"
"Fibroblast / stellate","Kupffer cell","Anxa1","Fpr2","ANNEXIN","Secreted Signaling",1.15864526641689,0.249950753997403,0.289604257956422,"APAP"
"Fibroblast / stellate","Kupffer cell","Col4a2","Sdc4","COLLAGEN","ECM-Receptor",0.700231291226124,0.408326037755269,0.285922668658619,"APAP"
"Neutrophil","Endothelial","Selplg","Selp","SELPLG","Cell-Cell Contact",0.839564781606594,0.340395360284362,0.285783956317039,"APAP"
"Kupffer cell","Neutrophil","Lgals9","P4hb","GALECTIN","Secreted Signaling",0.865136180901777,0.32873583576121,0.284401265476007,"APAP"
"Inflammatory neutrophil","Endothelial","Ccl6","Ccr1","CCL","Secreted Signaling",2.58969816912025,0.109058249798899,0.282427949831668,"APAP"
"Kupffer cell","Endothelial","Gzma","F2r","PARs","Secreted Signaling",0.273968854536447,1.02846003869402,0.281766018737509,"APAP"
"Kupffer cell","Neutrophil","H2-K1","Cd8b1","MHC-I","Cell-Cell Contact",3.18465690204166,0.0880533995919522,0.280419866758743,"APAP"
"Kupffer cell","Endothelial","Ccl6","Ccr2","CCL","Secreted Signaling",2.74121488992137,0.101981031475012,0.279551921968843,"APAP"
"Monocyte-derived macrophage / DC-like","NK cell","Clec2d","Klrb1f","CLEC","Cell-Cell Contact",0.527729854792927,0.522422274157281,0.275697830881613,"APAP"
"Monocyte-derived macrophage / DC-like","T cell","Lgals9","P4hb","GALECTIN","Secreted Signaling",0.732925031958744,0.375913690580485,0.275516553682432,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col4a2","Sdc4","COLLAGEN","ECM-Receptor",0.700231291226124,0.393067751519305,0.275238339185712,"APAP"
"Monocyte-derived macrophage / DC-like","T cell","Ccl2","Ccr2","CCL","Secreted Signaling",0.566764627954676,0.482035005804013,0.273200390725642,"APAP"
"Kupffer cell","Inflammatory neutrophil","Ccl7","Ccr1","CCL","Secreted Signaling",0.125167693715292,2.18109567940084,0.273002715962991,"APAP"
"Monocyte-derived macrophage / DC-like","T cell","H2-Q4","Cd8b1","MHC-I","Cell-Cell Contact",0.667123178079557,0.40804664504343,0.272217374646074,"APAP"
"Fibroblast / stellate","Endothelial","Vegfc","Kdr","VEGF","Secreted Signaling",0.180203010314255,1.49953081215243,0.270219966408848,"APAP"
"Monocyte-derived macrophage / DC-like","NK cell","H2-K1","Cd8b1","MHC-I","Cell-Cell Contact",3.02119927119779,0.08867605455467,0.267908031393264,"APAP"
"Fibroblast / stellate","Endothelial","Gzma","F2r","PARs","Secreted Signaling",0.257667929365343,1.02846003869402,0.265001168605288,"APAP"
"Inflammatory neutrophil","Endothelial","Ccl6","Ccr2","CCL","Secreted Signaling",2.58969816912025,0.101981031475012,0.264100090495834,"APAP"
"Neutrophil","Endothelial","Sell","Podxl","SELL","Cell-Cell Contact",0.747791134787026,0.353139231792853,0.264074386880196,"APAP"
"Monocyte-derived macrophage / DC-like","T cell","Sirpb1c","Cd47","SIRP","Cell-Cell Contact",0.288762141909433,0.912336879521699,0.263448351473655,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","App","Tnfrsf21","APP","Cell-Cell Contact",2.08352256117727,0.126296882376164,0.26314240383709,"APAP"
"Kupffer cell","Inflammatory neutrophil","Ccl6","Ccr2","CCL","Secreted Signaling",2.74121488992137,0.0953702561540092,0.261430366224985,"APAP"
"Kupffer cell","Inflammatory neutrophil","H2-D1","Cd8b1","MHC-I","Cell-Cell Contact",3.80948744160513,0.0674666095191401,0.257013201690841,"APAP"
"Activated neutrophil","Endothelial","Cd55","Adgre5","ADGRE","Cell-Cell Contact",0.583747729995981,0.440005793792833,0.256852383311646,"APAP"
"Monocyte-derived macrophage / DC-like","T cell","App","Sorl1","APP","Cell-Cell Contact",0.833456752169488,0.306485364497793,0.255442296481812,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Rarres2","Cmklr1","CHEMERIN","Secreted Signaling",1.79721684942344,0.140832875889967,0.25310721750221,"APAP"
"Fibroblast / stellate","Endothelial","Thbs3","Cd36","THBS","ECM-Receptor",0.22546660049073,1.10465588160528,0.249063006337633,"APAP"
"Fibroblast / stellate","Kupffer cell","Col6a5","Sdc4","COLLAGEN","ECM-Receptor",0.608561734582574,0.408326037755269,0.248491601811576,"APAP"
"Inflammatory neutrophil","Endothelial","H2-D1","Cd8b1","MHC-I","Cell-Cell Contact",3.94936798423033,0.0626141139406265,0.24728617695806,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Selplg","Sell","SELPLG","Cell-Cell Contact",0.329236038144582,0.746901365933146,0.245906846604606,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Cd55","Adgre5","ADGRE","Cell-Cell Contact",0.259428821814881,0.933735592209974,0.242237924573653,"APAP"
"Kupffer cell","Neutrophil","Ccl6","Ccr2","CCL","Secreted Signaling",2.74121488992137,0.0881497309919096,0.241637355137585,"APAP"
