sample_id,group,celltype_manual,n_cells,Neutrophil_inflammation1_mean,Chemokine_recruitment1_mean,IL1_TNF_inflammatory1_mean,IFN_response1_mean,Antigen_presentation1_mean,Kupffer_resident_identity1_mean,Phagocytosis_efferocytosis1_mean,Tissue_repair_ECM1_mean,Endothelial_activation1_mean,ROS_degranulation1_mean,T_NK_activation1_mean,Anti_inflammatory_repair1_mean
con1,Control,Cytotoxic T / NK-like,215,-0.21609451393956516,0.1647399473372869,-0.10888456159190656,0.33182856350167694,0.6624533373788658,-0.077128842878101,-0.08759276321451133,-0.11232747664667775,-0.07017691626438306,-0.07040250878501376,0.832237463785357,-0.12987153906622118
con1,Control,Endothelial,66,-0.24297836229571276,-0.10447416324560398,0.04198056380963277,0.18713612029527585,0.6826774076925073,-0.07445823702919385,0.20157557246066893,-0.07735073571408357,0.876658591594455,0.052590997507461996,-0.27256327460078644,-0.06987173950536266
con1,Control,Fibroblast / stellate,19,-0.23118965564720256,-0.13460295993822316,-0.0386404573761258,0.08449890926794192,0.5200197402002373,-0.08271970897104876,0.30529599033242355,0.9444415585854706,-0.09706464740588402,0.08008135428905692,-0.3421163359677532,-0.09099082105945686
con1,Control,Inflammatory neutrophil,106,1.5054759522356065,0.16150333701747707,0.44576296071992616,0.17262765271982494,0.6967822047770031,-0.06197044234712856,-0.08334465613370005,0.06434420083444095,-0.07783644751802433,0.174174386308988,0.15542132513281384,-0.00647318857310764
con1,Control,Kupffer cell,61,-0.06432358914454092,0.08121583261143321,0.13980871117135593,0.3081778177699232,1.215244884833782,2.4870756895681154,0.5069733450642668,0.01816021858200684,0.16102932755336807,0.6239806413417879,-0.30051868499993534,1.4078901907956505
con1,Control,Monocyte-derived macrophage / DC-like,258,0.02522080865371591,0.2939834564208412,0.16040458515680117,0.2651276548451826,1.5863396980274023,0.19500769728585512,0.056372853691748825,0.08449593715933897,-0.08673540603041888,0.47486019491475456,-0.37945788993397045,0.3348626561773521
con1,Control,NK cell,265,-0.09053791864112218,0.28708180078619294,-0.09441553248351485,-0.08061971777209244,0.7408855480278651,-0.06728916273918711,-0.09513978593342845,-0.10847925692082326,-0.06188419314705832,-0.06930117687478635,1.116661134272639,-0.144266722016766
con1,Control,Neutrophil,32,2.366289680660941,-0.04189213137280451,0.06436641685569121,0.10669816000605258,0.5461547727423199,-0.0074631669104479395,-0.06520850676614501,0.24249360098052272,-0.07976243622955877,0.47514072366085314,-0.16002062387468818,0.3172863051871729
con1,Control,T cell,1661,-0.26487284833922536,-0.062375921093413896,-0.08877470836440518,-0.07945842287706711,0.6657206265207838,-0.06620087126384744,-0.08017650930723114,-0.12770560221366103,-0.06660403637701663,-0.08516096092714348,0.4624433691628898,-0.14214273675693673
con2,Control,Activated neutrophil,49,1.2893949683219377,0.02508381236897622,0.4581420755666981,-0.01936568334014691,1.4481023602258538,-0.0462030479580616,-0.05695217706076662,0.020384405502916543,-0.06592868763081326,0.11794313910675679,-0.37159963410139346,0.0142113763710154
con2,Control,B cell,5039,-0.23523092275591048,-0.13961588130762426,-0.07149891874688444,-0.10089920623173408,1.6580566786544813,-0.03958103881210257,-0.03989240237833165,-0.0866544256707712,-0.023210970916002854,0.04582651064000328,-0.24765064645327334,-0.09796343499826993
