sample_id,group,myeloid_subtype,n_cells,Kupffer_resident_score1_mean,Monocyte_derived_Mph_score1_mean,Inflammatory_Mph_score1_mean,Injury_response_Mph_score1_mean,Neutrophil_score1_mean,Activated_neutrophil_score1_mean,Interferon_response_score1_mean,Antigen_presentation_score1_mean,Neutrophil_inflammation1_mean,Chemokine_recruitment1_mean,IL1_TNF_inflammatory1_mean,IFN_response1_mean,Antigen_presentation1_mean,Kupffer_resident_identity1_mean,Phagocytosis_efferocytosis1_mean,Tissue_repair_ECM1_mean,Endothelial_activation1_mean,ROS_degranulation1_mean,T_NK_activation1_mean,Anti_inflammatory_repair1_mean
AP-300-2,APAP,Cycling neutrophil,31,-0.4181097940807968,0.8407140768706146,-0.23474293439235702,-0.08303537909185163,2.4116737916153888,-0.5447124732197385,-0.25192954772352794,0.12908679409642168,1.4941738335623047,-0.1993594700661241,-0.23924253327671818,-0.1538557903966167,0.457015289694032,-0.37977261374521865,-0.1014186265804862,-0.03937266965930918,-0.03241912397472084,0.5085625941560369,0.014621122434385202,0.0031320377627159796
AP-300-2,APAP,DC-like antigen-presenting myeloid,331,-0.6079270054655225,0.20142217933332496,-0.05791319449097239,0.018213406346280145,-0.24647587597118578,-0.6031573295537782,-0.14866423975673146,1.8851021383865452,-0.22591144824691153,-0.03051574906085207,-0.14979337676504265,0.0636087064043758,1.5521953732027611,-0.550755471190293,-0.09343656937971671,0.05817375496543512,-0.060145140702555826,0.1833697165395116,-0.136814043460784,-0.29077308876109886
AP-300-2,APAP,IFN-responsive inflammatory neutrophil,163,-0.47815250249229796,-0.23104542040208395,1.023081801311629,0.07978893294148594,1.5633781652179342,1.139914574376471,0.5922141327928978,-0.03656309688673726,1.581775867065474,0.13875302911834123,0.4562301947223531,0.5723276298329337,0.5837219366645375,-0.41715558142841846,-0.068614717691569,0.001047068898684075,-0.022652761052845933,-5.569160393014056e-4,-0.059966103326086186,-0.2384056970647756
AP-300-2,APAP,Inflammatory neutrophil,2455,-0.48322248066424617,-0.2781705154050529,0.8601679594244467,0.04501014784395398,1.6247974821591245,1.0313387626215211,-0.16284196584419916,-0.04420653398693164,1.568110297703445,0.12570108800793928,0.3179634851536413,-0.06535189977128947,0.5273373935090085,-0.42135780472268763,-0.07521757674272575,0.011558395822279873,-0.02398959678684995,-0.013282660205980255,0.0837881860591767,-0.2613496273140221
AP-300-2,APAP,Mature neutrophil,210,-0.4468047821669857,0.7734720400049305,-0.09161632554171821,0.14910153775228108,3.1882655716710846,-0.16054161318045465,-0.16185715501197387,-0.0500408370892204,2.1123864081488035,-0.15183333120422782,-0.10101749538523307,0.009355554037366081,0.40564593086905065,-0.39412861679502487,-0.08082227472058322,0.18669460706038213,-0.03886688931312529,0.3703837437025971,-0.042643647272100335,0.04317089359413616
AP-300-2,APAP,Monocyte-derived macrophage,129,-0.62565910652952,1.3173200229993611,0.013378167051134343,0.5877041041487862,-0.23641706515270897,-0.45465681430963006,-0.14368068073668852,0.24408918034762372,-0.20353676710662322,-0.010094288851751822,-0.14485897676390588,0.09463093586538963,0.6925179955887972,-0.5397006861841281,0.008131429559505177,0.12837512522246564,-0.05716522850547617,0.4187180866862775,-0.14738483694959992,-0.17245071862867922
AP-300-2,APAP,Neutrophil with erythroid/ambient signal,194,-0.462173019190599,-0.23555069058470907,0.9059474117248387,0.09675522120082282,1.7531607624852876,1.1424839804404692,-0.17691684946555714,-0.029299376896517317,1.6749696507382732,0.11711236873612069,0.3595799104994226,-0.0642327532654761,0.5245161223747962,-0.4021025473524013,-0.06012540742262244,0.047905349336236316,-0.013964626750000717,-0.0046095951581304724,-0.049918160434685103,-0.2218752652570691
AP-300-2,APAP,Possible doublet / hepatocyte ambient-contaminated neutrophil,177,-0.47551276771068957,-0.25517670593730496,0.8531628118109338,0.19730967659626378,1.606304811832914,0.9747709271290287,-0.1903206032879807,0.0061830746076604725,1.536675964622755,0.10720957388710384,0.32003086332576713,-0.08170446245410264,0.535015329041227,-0.4118417007111963,-0.07126508259348054,0.004138021761114921,-0.016918280902835266,0.06789818515855892,-0.007139131308336673,-0.23662794633660383
AP-300-2,APAP,Rare injury-associated macrophage-like cells,3,0.8389447095724113,0.13117923335190432,0.48435379102962156,1.0522303434484335,-0.22323544127047348,0.175666505793414,-0.25033433648856135,0.5628924506729013,-0.020708635072659482,0.10706103140031561,0.05465016403822674,-0.010023552806618832,0.8613655266363286,0.8383963605866465,0.3903987449276164,0.17147241761837875,0.28344467825111963,0.6317035039050842,-0.21467380726692198,0.5287342780821086
AP-300-2,APAP,Resident Kupffer cell,222,2.105996986403721,0.08789394382197455,-0.030765758249543647,1.4841924677976885,-0.14230937434112936,-0.18806730898266208,0.040778004581886115,0.9295707739208764,-0.1443363761209133,-0.0735053678393088,-0.05626131903022456,0.11620981073870623,1.141979964546848,2.0433594367897028,0.46369758799607685,-0.028770542431080234,0.31571815746754234,0.4145555278928096,-0.12427551547332381,1.088896663659636
AP-300-3,APAP,Activated inflammatory neutrophil,157,-0.4383674451786003,-0.33767434450237127,1.6183243085795864,0.10700669738511458,1.1500850031292056,1.69738094753808,-0.17351543226282812,0.13639692372884563,1.5321549815864761,0.40288917736741137,0.6294371053133003,-0.087739917051291,0.672226457275897,-0.37654268883397357,-0.04217120238934636,0.027376046022042227,-0.01205469438621688,0.023809141754141647,0.001381220786846509,-0.19150446637536028
AP-300-3,APAP,Activated neutrophil,160,-0.42875867356561104,-0.400961576077831,0.5835500964576221,-0.024800682652109454,1.1040186823564,0.5789984454300594,-0.2341397227129457,1.539355743878631,1.079854474661547,0.02735256795110814,0.1594346892291471,-0.1303495947653843,1.4208440453432145,-0.3743539358062925,-0.08431155892908528,-0.04249890846806054,-0.009752956498250817,-0.039849283499099365,-0.042418861653404756,-0.27482444649284254
AP-300-3,APAP,Antigen-presenting macrophage / Mo-Mac,232,0.09687171423340767,0.6114817459717938,0.38877161482749967,0.8974609901714832,-0.17308499615981102,0.0867972902542451,-0.04039618713709357,1.991770645440742,0.04564773841105002,0.29349599652159525,-0.021663493176915207,0.08602002600202698,1.7322011457754318,0.057152128969091255,0.11692399402084666,0.02375096439373783,-0.008076917021024282,0.335226519268456,-0.0712758834542344,0.29904235573740184
AP-300-3,APAP,Antigen-presenting myeloid with lymphoid-like signal,27,-0.2742609427898169,0.08276116274340065,0.22549105704641922,0.34817473951378836,-0.19777537071436269,-0.2290433252902418,-0.1821953999839676,1.923007371652015,-0.05057873165806964,0.19687485445936667,-0.17181870577416553,-0.014429638041690873,1.6547055140298603,-0.27505326822070125,-0.056019896275189385,-0.0075032640693605355,-0.03399676133436376,0.12100823999898616,0.49844249822714404,-0.1116932245603009
